trail_id,trail_name,national_park,state,popularity,length,elevation,difficulty,route_type,rating,num_reviews,trailhead_lat,trailhead_long
10020048,Harding Ice Field Trail,Kenai Fjords National Park,Alaska,24.9,9.7,1161.9,5,out and back,5.0,423,60.18852,-149.63156
10236086,Mount Healy Overlook Trail,Denali National Park,Alaska,18.0,4.3,507.8,3,out and back,4.5,260,63.73049,-148.91968
10267857,Exit Glacier Trail,Kenai Fjords National Park,Alaska,17.8,1.8,82.0,1,out and back,4.5,224,60.18879,-149.631
10236076,Horseshoe Lake Trail,Denali National Park,Alaska,16.3,2.1,119.8,1,loop,4.5,237,63.73661,-148.915
10236082,Triple Lakes Trail,Denali National Park,Alaska,12.6,18.5,1124.7,5,out and back,4.5,110,63.73319,-148.89682
10241620,Bison Gulch,Denali National Park,Alaska,8.8,7.0,1179.0,5,out and back,4.5,43,63.80507,-148.95336
10236080,Rock Creek Trail,Denali National Park,Alaska,7.7,4.4,287.7,3,out and back,4.0,39,63.73056,-148.91955
10236075,Taiga Trail,Denali National Park,Alaska,5.9,1.6,62.8,3,loop,4.0,27,63.73043,-148.91922
10236084,McKinley Station Trail,Denali National Park,Alaska,5.9,2.9,114.0,1,loop,4.5,21,63.73324,-148.89659
10327620,Mount Thorofare Ridge Loop,Denali National Park,Alaska,5.8,4.1,507.8,5,loop,4.5,5,63.43108,-150.31096
10265252,McKinley Bar Trail,Denali National Park,Alaska,5.7,4.6,296.0,1,out and back,4.0,17,63.45799,-150.85
10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Alaska,4.6,3.0,158.8,3,loop,4.5,15,63.73128,-148.9171
10265251,Blueberry Hill Trail,Denali National Park,Alaska,4.2,0.9,46.9,3,out and back,4.5,6,63.49541,-150.88137
10393562,Stampede Trail to Sushana River,Denali National Park,Alaska,4.0,38.2,1293.0,5,out and back,4.5,3,63.88374,-149.26764
10262541,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Alaska,3.9,1.1,33.8,1,loop,4.5,14,58.45462,-135.88312
10358126,Camp Ridge Trail,Denali National Park,Alaska,3.7,4.2,538.9,5,out and back,5.0,8,63.52451,-150.96072
10236078,Jonesville Trail,Denali National Park,Alaska,3.5,0.9,52.7,1,out and back,4.0,11,63.73334,-148.89618
10343441,Roadside Trail,Denali National Park,Alaska,3.4,3.4,214.9,1,out and back,4.0,13,63.73034,-148.91945
10023165,Quigley Ridge Trail,Denali National Park,Alaska,3.3,9.1,730.9,3,out and back,4.5,5,63.52444,-150.96015
10333569,Bison Gulch to Denali Visitors Center,Denali National Park,Alaska,2.8,9.8,1385.9,5,point to point,5.0,5,63.80495,-148.95416
10347459,Brooks Falls,Katmai National Park,Alaska,2.5,2.9,63.7,1,out and back,4.5,4,58.55986,-155.77752
10302108,Bartlett River Trail,Glacier Bay National Park,Alaska,2.3,6.9,266.7,1,out and back,3.0,7,58.4543,-135.86902
10333558,McKinley Station and Morino Loop Trail,Denali National Park,Alaska,2.1,0.9,33.8,3,loop,3.0,4,63.7315,-148.91785
10513937,Dumpling Mountain,Katmai National Park,Alaska,2.0,3.0,225.9,3,out and back,4.0,5,58.55626,-155.77832
10333557,Spruce Tree Trail,Denali National Park,Alaska,1.9,0.4,23.8,1,loop,3.0,6,63.73136,-148.91762
10302122,Bartlet Lake Trail,Glacier Bay National Park,Alaska,1.9,5.9,141.7,1,out and back,3.5,4,58.46205,-135.77323
10265266,Eldorado Creek Trail,Denali National Park,Alaska,1.8,8.5,397.8,3,out and back,0.0,0,63.52668,-150.96891
10302112,Tlingit Trail,Glacier Bay National Park,Alaska,1.4,1.1,19.8,1,out and back,3.5,4,58.45442,-135.88565
10302114,Point Gustavus,Glacier Bay National Park,Alaska,1.3,12.5,118.0,3,out and back,4.0,2,58.45379,-135.88686
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,Arizona,37.5,17.7,1525.8,5,out and back,5.0,670,36.05735,-112.14381
10016964,South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,Arizona,36.3,3.1,358.7,3,out and back,5.0,489,36.05346,-112.08361
10237812,Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Arizona,33.3,5.4,635.8,5,out and back,4.5,454,36.05701,-112.14414
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Arizona,31.6,16.7,1400.9,5,point to point,5.0,519,36.05344,-112.08364
10265905,South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Arizona,28.9,1.8,210.9,3,out and back,5.0,455,36.05309,-112.08387
10266148,Grand Canyon Rim Trail,Grand Canyon National Park,Arizona,28.2,5.4,107.0,1,out and back,4.5,342,36.05723,-112.14378
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,Arizona,24.0,21.6,1614.8,5,point to point,5.0,217,36.21692,-112.05678
10026816,Shoshone Point Trail,Grand Canyon National Park,Arizona,22.7,2.1,45.7,1,out and back,5.0,224,36.03496,-112.06924
10235665,Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,Arizona,22.5,12.2,961.9,5,out and back,5.0,262,36.05681,-112.14201
10266521,South Kaibab Trail to Skeleton Point,Grand Canyon National Park,Arizona,22.2,5.4,602.9,5,out and back,5.0,229,36.05356,-112.08336
10016127,Grand Canyon West Rim Trail,Grand Canyon National Park,Arizona,21.7,12.8,169.8,1,point to point,4.5,158,36.05264,-112.08368
10034910,Bridal Wreath Falls Trail,Saguaro National Park,Arizona,20.9,5.6,326.7,3,out and back,4.5,259,32.23512,-110.68683
10337353,1.5 Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Arizona,20.1,2.9,349.9,3,out and back,4.5,238,36.05706,-112.14428
10013850,Bright Angel Point Trail,Grand Canyon National Park,Arizona,19.8,0.9,43.9,1,out and back,4.5,142,36.19703,-112.05258
10031380,Wasson Peak Trail,Saguaro National Park,Arizona,18.9,7.9,567.8,3,loop,4.5,229,32.24669,-111.16708
10304374,Indian Garden via Bright Angel Trail,Grand Canyon National Park,Arizona,16.7,8.2,896.7,5,out and back,5.0,61,36.05745,-112.14434
10236025,Blue Mesa Trail,Petrified Forest National Park,Arizona,15.6,0.9,32.9,1,loop,4.5,163,34.93947,-109.75639
10013966,King Canyon Trail to Wasson Peak,Saguaro National Park,Arizona,15.5,7.1,560.8,3,out and back,4.5,135,32.24717,-111.16717
10004120,Grandview Trail Loop,Grand Canyon National Park,Arizona,14.8,11.6,1188.7,7,loop,5.0,62,35.99805,-111.98775
10006500,Hermit Trail,Grand Canyon National Park,Arizona,14.8,15.4,1567.9,5,out and back,4.5,88,36.06193,-112.21112
10259347,Grandview Point to Horseshoe Mesa Trail,Grand Canyon National Park,Arizona,14.7,5.5,726.9,3,out and back,5.0,97,35.99809,-111.98778
10041313,North Kaibab Trail to Roaring Springs,Grand Canyon National Park,Arizona,14.7,8.4,1072.0,5,out and back,4.5,80,36.21687,-112.05678
10244240,Wasson Peak via Sweetwater Trail,Saguaro National Park,Arizona,14.4,9.3,637.9,5,out and back,4.5,161,32.28866,-111.12114
10111405,Douglas Spring Trail,Saguaro National Park,Arizona,14.3,16.6,1140.0,3,out and back,4.5,95,32.23518,-110.68682
10286650,South Kaibab Trail to Phantom Ranch,Grand Canyon National Park,Arizona,13.8,13.4,1496.9,5,out and back,5.0,73,36.05298,-112.0839
10031336,Widforss Trail,Grand Canyon National Park,Arizona,13.3,9.1,315.8,3,out and back,4.5,100,36.22375,-112.06506
10031337,Transept Trail,Grand Canyon National Park,Arizona,12.6,2.9,86.0,3,out and back,4.0,85,36.19695,-112.05287
10304469,Yavapai Point via Rim Trail,Grand Canyon National Park,Arizona,12.6,1.6,25.0,1,out and back,4.5,52,36.06045,-112.10861
